date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:45:42	183/183	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/y6.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/y6.svg	(from https://designcanada.com/)
02:45:42	185/185	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/y7.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/y7.svg	(from https://designcanada.com/)
02:45:42	178/178	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/b1.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/b1.svg	(from https://designcanada.com/)
02:45:42	181/181	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/b2.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/b2.svg	(from https://designcanada.com/)
02:45:43	181/181	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/b3.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/b3.svg	(from https://designcanada.com/)
02:45:43	181/181	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/b4.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/b4.svg	(from https://designcanada.com/)
02:45:43	181/181	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/b5.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/b5.svg	(from https://designcanada.com/)
02:45:43	26433/26433	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2014:34:42%20GMT	https://designcanada.com/assets/images/sprite.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/sprite.svg	(from https://designcanada.com/)
02:45:44	34180/34180	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:46%20GMT	https://designcanada.com/designers	C:/My%20Web%20Sites/deisgncanda/designcanada.com/designers.html	(from https://designcanada.com/)
02:45:45	35260/35260	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:47%20GMT	https://designcanada.com/filmmakers	C:/My%20Web%20Sites/deisgncanda/designcanada.com/filmmakers.html	(from https://designcanada.com/)
02:45:45	68424/68424	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:47%20GMT	https://designcanada.com/screenings	C:/My%20Web%20Sites/deisgncanda/designcanada.com/screenings.html	(from https://designcanada.com/)
02:45:47	32660/32660	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:48%20GMT	https://designcanada.com/contact	C:/My%20Web%20Sites/deisgncanda/designcanada.com/contact.html	(from https://designcanada.com/)
02:45:47	58913/58913	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:49%20GMT	https://designcanada.com/news	C:/My%20Web%20Sites/deisgncanda/designcanada.com/news.html	(from https://designcanada.com/)
02:45:47	507/507	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/cbc/4.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/cbc/4.svg	(from https://designcanada.com/)
02:45:47	1097/1097	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/cbc/3.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/cbc/3.svg	(from https://designcanada.com/)
02:45:48	1099/1099	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/cbc/2.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/cbc/2.svg	(from https://designcanada.com/)
02:45:48	385/385	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/cbc/1.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/cbc/1.svg	(from https://designcanada.com/)
02:45:49	125055/125055	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/video.jpg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/video.jpg	(from https://designcanada.com/)
02:45:49	27972/27972	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/greg.jpg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/greg.jpg	(from https://designcanada.com/)
02:45:49	28105/28105	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/jessica.jpg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/jessica.jpg	(from https://designcanada.com/)
02:45:50	27471/27471	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/gary.jpg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/gary.jpg	(from https://designcanada.com/)
02:45:51	440282/440282	---M--	200	added ('OK')	video/mp4	date:Mon,%2009%20Apr%202018%2013:39:17%20GMT	https://designcanada.com/assets/videos/trailer-cut.mp4	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/videos/trailer-cut.mp4	(from https://designcanada.com/)
02:45:51	46413/46413	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:53%20GMT	https://designcanada.com/designers/burton-kramer	C:/My%20Web%20Sites/deisgncanda/designcanada.com/designers/burton-kramer.html	(from https://designcanada.com/)
02:45:51	45334/45334	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:53%20GMT	https://designcanada.com/designers/heather-cooper	C:/My%20Web%20Sites/deisgncanda/designcanada.com/designers/heather-cooper.html	(from https://designcanada.com/)
02:45:55	45308/45308	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:56%20GMT	https://designcanada.com/designers/stuart-ash	C:/My%20Web%20Sites/deisgncanda/designcanada.com/designers/stuart-ash.html	(from https://designcanada.com/)
02:45:55	45550/45550	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:57%20GMT	https://designcanada.com/designers/hans-kleefeld	C:/My%20Web%20Sites/deisgncanda/designcanada.com/designers/hans-kleefeld.html	(from https://designcanada.com/)
02:45:56	45638/45638	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:58%20GMT	https://designcanada.com/designers/fritz-gottschalk	C:/My%20Web%20Sites/deisgncanda/designcanada.com/designers/fritz-gottschalk.html	(from https://designcanada.com/)
02:45:57	45668/45668	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:15:59%20GMT	https://designcanada.com/designers/rolf-harder	C:/My%20Web%20Sites/deisgncanda/designcanada.com/designers/rolf-harder.html	(from https://designcanada.com/)
02:45:57	86341/86341	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.0.0/jquery.min.js	C:/My%20Web%20Sites/deisgncanda/ajax.googleapis.com/ajax/libs/jquery/3.0.0/jquery.min.js	(from https://designcanada.com/)
02:45:57	86341/86341	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2006%20Apr%202018%2020:49:03%20GMT	https://designcanada.com/assets/scripts/jquery-3.0.0.min.js	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/scripts/jquery-3.0.0.min.js	(from https://designcanada.com/)
02:45:59	23248/23248	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2008%20Jul%202018%2021:16:00%20GMT	https://designcanada.com/manifest.json	C:/My%20Web%20Sites/deisgncanda/designcanada.com/manifest.html	(from https://designcanada.com/)
02:45:59	1201409/1201409	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2006%20Apr%202018%2020:49:03%20GMT	https://designcanada.com/assets/scripts/vendors.js?v=1.6	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/scripts/vendors3cc5.js	(from https://designcanada.com/)
02:45:59	264796/264796	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2007%20May%202018%2014:37:39%20GMT	https://designcanada.com/assets/scripts/app.js?v=1.6	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/scripts/app3cc5.js	(from https://designcanada.com/)
02:45:59	37312/37312	---M-Z	200	added ('OK')	font/woff2	date:Fri,%2006%20Apr%202018%2020:49:03%20GMT	https://designcanada.com/assets/fonts/hinted-NHaasGroteskDSPro-65Md.woff2	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/fonts/hinted-NHaasGroteskDSPro-65Md.woff2	(from https://designcanada.com/assets/styles/main.css?v=1.6)
02:45:59	23248/23248	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2008%20Jul%202018%2021:16:01%20GMT	https://designcanada.com/browserconfig.xml	C:/My%20Web%20Sites/deisgncanda/designcanada.com/browserconfig.html	(from https://designcanada.com/)
02:46:01	52216/52216	---M--	200	added ('OK')	font/woff	date:Fri,%2006%20Apr%202018%2020:49:03%20GMT	https://designcanada.com/assets/fonts/hinted-NHaasGroteskDSPro-65Md.woff	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/fonts/hinted-NHaasGroteskDSPro-65Md.woff	(from https://designcanada.com/assets/styles/main.css?v=1.6)
02:46:01	178503/178503	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Apr%202018%2014:06:02%20GMT	https://designcanada.com/uploads/designers/images/DC_Vertical_Photos_Rolf_Harder.jpg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/uploads/designers/images/DC_Vertical_Photos_Rolf_Harder.jpg	(from https://designcanada.com/designers)
02:46:02	169415/169415	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Apr%202018%2014:06:02%20GMT	https://designcanada.com/uploads/designers/images/DC_Vertical_Photos_Burton_Kramer.jpg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/uploads/designers/images/DC_Vertical_Photos_Burton_Kramer.jpg	(from https://designcanada.com/designers)
02:46:02	63986/63986	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Apr%202018%2014:06:02%20GMT	https://designcanada.com/uploads/designers/images/DC_Vertical_Photos_Heather_Cooper.jpg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/uploads/designers/images/DC_Vertical_Photos_Heather_Cooper.jpg	(from https://designcanada.com/designers)
02:46:02	169191/169191	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Apr%202018%2014:06:02%20GMT	https://designcanada.com/uploads/designers/images/DC_Vertical_Photos_Stuart_Ash.jpg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/uploads/designers/images/DC_Vertical_Photos_Stuart_Ash.jpg	(from https://designcanada.com/designers)
